21069010,21069010 - OUTS.PREPARAÇÕES P/ELABORAÇÃO DE BEBIDAS,Arts. 25 e 34 c/c Anexo III da Lei nº 13.097/2015,,"Apenas: Ex 02 - Preparações compostas, não alcoólicas (extratos concentrados ou sabores concentrados), para elaboração de bebida refrigerante do Capítulo 22, com capacidade de diluição de até 10 partes da bebida para cada parte do concentrado ",411,4. Grupo 400 – Bebidas Frias: ,,
22011000,22011000 - ÁGUAS MINERAIS E GASEIF.S/AÇÚCAR E EDULC.,"1- Art. 58-I da Lei nº 10.833/03, 2-Art. 58-I da Lei nº 10.833/03 c/c art. 76 da Lei nº 12.715, de 2012, 3- Arts. 25 e 34 c/c Anexo III da Lei nº 13.097/2015",Exceto: Ex 01 - Águas minerais naturais comercializadas em recipientes com capacidade nominal inferior a 10 (dez) litros e Ex 02 - Águas minerais naturais comercializadas em recipientes com capacidade nominal igual ou superior a 10 (dez) litros ,401,4. Grupo 400 – Bebidas Frias: ,,,
22019000,"22019000 - OUTRAS ÁGUAS, S/AÇÚCAR E EDULC.,GELO E NEVE","1- Art. 58-I da Lei nº 10.833/03 c/c art. 76 da Lei nº 12.715, de 2012, 2- Arts. 25 e 34 c/c Anexo III da Lei nº 13.097/2015",,415,4. Grupo 400 – Bebidas Frias: ,,,
22021000,22021000 - ÁGUAS INCL.MINERAIS/GASEIF.C/AÇÚCAR EDULC.,Arts. 25 e 34 c/c Anexo III da Lei nº 13.097/2015,,,419,4. Grupo 400 – Bebidas Frias: ,,
22029000,22029000 - OUTRAS BEBIDAS NÃO ALCOÓLICAS,"1- Art. 25 e 34 c/c Anexo III, com art. 26 c/c Anexo II, da Lei nº 13.097/2015, 2- Art. 25 e 34 c/c Anexo III, com art. 26 c/c Anexo II, da Lei nº 13.097/2015 e Decreto nº 8.442/2015",,419,4. Grupo 400 – Bebidas Frias: ,,,
22030000,22030000 - CERVEJA DE MALTE,"1- Arts. 25 e 34 c/c Anexo III da Lei nº 13.097/2015, 2- Art. 25 e 34 c/c Anexo III, com art. 26 c/c Anexo II, da Lei nº 13.097/2015, 3- Art. 25 e 34 c/c Anexo III, com art. 26 c/c Anexo II, da Lei nº 13.097/2015 e Decreto nº 8.442/2015",,423,4. Grupo 400 – Bebidas Frias: ,,,
22071010,22071010 - ÁLCOOL ETÍLICO Ñ DESNATURADO C/TEOR DE ÁGUA =<1% VOL.,Art. 5º da Lei nº 9.718/98,,112,1. Grupo 100 – Combustíveis e Álcool: ,,,
22071090,"22071090 - OUTROS ÁLCOOIS ETÍLICOS Ñ DESNATURS. C/TEOR ALC.=>80%,V",Art. 5º da Lei nº 9.718/98,,112,1. Grupo 100 – Combustíveis e Álcool: ,,,
22072011,22072011 - ÁLCOOL ETÍLICO COM TEOR ÁGUA =<1% VOL.,Art. 5º da Lei nº 9.718/98,,112,1. Grupo 100 – Combustíveis e Álcool: ,,,
22072019,22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO,Art. 5º da Lei nº 9.718/98,,112,1. Grupo 100 – Combustíveis e Álcool: ,,,
